word,definition
apple,a round fruit with red or green skin and a whitish interior
banana,a long curved fruit that grows in clusters and has soft pulpy flesh and yellow skin when ripe
cat,a small domesticated carnivorous mammal with soft fur a short snout and retractile claws
dog,a domesticated carnivorous mammal that typically has a long snout an acute sense of smell and a barking howling or whining voice
elephant,a very large plant-eating mammal with a trunk long curved ivory tusks and large ears
fish,a limbless cold-blooded vertebrate animal with gills and fins living wholly in water
grape,a berry typically green purple red or black growing in clusters on a grapevine eaten as fruit and used in making wine
hat,a shaped covering for the head worn for warmth as a fashion item or as part of a uniform
ice,the solid form of water produced by freezing; frozen water
jacket,a short coat or outer garment typically having sleeves and a fastening down the front
kite,a toy consisting of a light frame with thin material stretched over it flown in the wind at the end of a long string
lemon,a yellow oval citrus fruit with thick skin and fragrant acidic juice
monkey,a small to medium-sized primate that typically has a long tail most kinds of which live in trees in tropical countries
notebook,a book with blank or ruled pages for writing notes in
orange,a round juicy citrus fruit with a tough bright reddish-yellow rind
pencil,a slender cylindrical instrument used for writing or drawing consisting of a thin rod of graphite enclosed in a long thin piece of wood or fixed in a cylindrical case of metal or plastic
queen,the female ruler of an independent state especially one who inherits the position by right of birth
rabbit,a burrowing gregarious plant-eating mammal with long ears long hind legs and a short tail
sock,a garment for the foot and lower part of the leg typically knitted from wool cotton or nylon
table,a piece of furniture with a flat top and one or more legs providing a level surface for eating writing, or working at
umbrella,a device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun
van,a covered motor vehicle used for transporting goods or people typically designed to accommodate between six and ten people including the driver
water,a colorless transparent odorless liquid that forms the seas lakes rivers and rain and is the basis of the fluids of living organisms
xylophone,a musical instrument played by striking a row of wooden bars of graduated length with one or more small wooden or plastic beaters
yacht,a medium-sized sailboat equipped for cruising or racing
zebra,a large African wild horse with black-and-white stripes and an erect mane
airplane,a powered flying vehicle with fixed wings and a weight greater than that of the air it displaces
ball,a solid or hollow sphere or ovoid especially one that is kicked thrown or hit in a game
car,a road vehicle typically with four wheels powered by an internal combustion engine or electric motor and able to carry a small number of people
duck,a waterbird with a broad blunt bill short legs webbed feet and a waddling gait
egg,the oval or round reproductive body laid by a female bird reptile fish or invertebrate usually containing a developing embryo
frog,a tailless amphibian with a short squat body moist smooth skin and very long hind legs for leaping
guitar,a stringed musical instrument with a fretted fingerboard typically incurved sides and six or twelve strings
horse,a large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail used for riding racing and to carry and pull loads
igloo,a dome-shaped Eskimo house typically built from blocks of solid snow
juice,the liquid obtained from or present in fruit or vegetables
key,a small piece of shaped metal with incisions cut to fit the wards of a particular lock which is inserted into a lock and turned to open or close it
lion,a large tawny-colored cat that lives in prides found in Africa and northwestern India. The male has a flowing shaggy mane and takes little part in hunting which is done cooperatively by the females
mouse,a small rodent that typically has a pointed snout relatively large ears and eyes and a long tail
nest,a structure or place made or chosen by a bird for laying eggs and sheltering its young
owl,a nocturnal bird of prey with large forward-facing eyes surrounded by facial disks a hooked beak and typically a loud call
pizza,a dish of Italian origin consisting of a flat round base of dough baked with a topping of tomato sauce and cheese typically with added meat or vegetables
quilt,a warm bed covering made of padding enclosed between layers of fabric and kept in place by lines of stitching typically applied in a decorative design
rose,a prickly bush or shrub that typically bears red pink yellow or white fragrant flowers native to north temperate regions. Numerous hybrids and cultivars have been developed and are widely grown as ornamentals
sun,the star around which the earth orbits
tree,a woody perennial plant typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground
umbrella,a device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod used as protection against rain or sometimes sun
violin,a stringed musical instrument of treble pitch played with a horsehair bow. The classical European violin was developed in the 16th century
wagon,a vehicle used for transporting goods or another specified purpose typically having two handles and a ledge for the feet
xylophone,a musical instrument played by striking a row of wooden bars of graduated length with one or more small wooden or plastic beaters
algorithm,a process or set of rules to be followed in calculations or other problem-solving operations especially by a computer
binary,relating to composed of or involving two things
cybersecurity,the state of being protected against the criminal or unauthorized use of electronic data or the measures taken to achieve this
database,a structured set of data held in a computer especially one that is accessible in various ways
encryption,the process of converting information or data into a code especially to prevent unauthorized access
firewall,a part of a computer system or network that is designed to block unauthorized access while permitting outward communication
graphics,the products of the graphic arts especially commercial design or illustration
hashing,the transformation of a string of characters into a usually shorter fixed-length value or key that represents the original string
